timestamp_ns,symbol,bid_px,ask_px,bid_qty,ask_qty
1700000000000000000,SYM0,99.9921,100.0021,474,483
1700000000001096531,SYM1,250.0226,250.0476,741,672
1700000000002168014,SYM2,50.0039,50.0139,588,615
1700000000003234252,SYM3,999.9761,1000.0762,367,397
1700000000004328103,SYM0,99.9774,99.9874,368,538
1700000000005328955,SYM1,250.0882,250.1132,504,419
1700000000006384348,SYM2,50.0008,50.0108,579,649
1700000000007396505,SYM3,999.9280,1000.0280,406,606
1700000000008441588,SYM0,99.9485,99.9585,359,476
1700000000009491204,SYM1,250.0267,250.0517,622,563
1700000000010573602,SYM2,49.9862,49.9962,333,330
1700000000011579609,SYM3,999.7822,999.8821,380,322
1700000000012590068,SYM0,99.9732,99.9832,310,393
1700000000013637888,SYM1,250.0643,250.0893,578,635
1700000000014725730,SYM2,49.9837,49.9937,1007,391
1700000000015748162,SYM3,999.5625,999.6624,401,476
1700000000016808752,SYM0,99.9293,99.9393,931,391
1700000000017898486,SYM1,250.0151,250.0401,396,790
1700000000018905818,SYM2,49.9840,49.9940,539,454
1700000000019933472,SYM3,999.7071,999.8071,696,408
1700000000021027571,SYM0,99.9178,99.9278,747,295
1700000000022087714,SYM1,250.0827,250.1077,554,568
1700000000023185362,SYM2,49.9768,49.9868,457,287
1700000000024237713,SYM3,999.4907,999.5907,256,1098
1700000000025255845,SYM0,99.9091,99.9191,496,574
1700000000026338086,SYM1,250.0898,250.1148,637,733
1700000000027416259,SYM2,49.9858,49.9958,560,722
1700000000028488772,SYM3,999.4847,999.5847,514,482
1700000000029583239,SYM0,99.9403,99.9503,754,501
1700000000030627827,SYM1,250.0042,250.0292,638,614
1700000000031687298,SYM2,50.0018,50.0118,504,429
1700000000032787170,SYM3,998.9603,999.0602,666,908
1700000000033869130,SYM0,99.9318,99.9418,752,437
1700000000034969074,SYM1,249.9860,250.0110,740,940
1700000000036038589,SYM2,50.0136,50.0236,409,432
1700000000037086166,SYM3,998.9672,999.0671,753,338
1700000000038126473,SYM0,99.9327,99.9427,624,447
1700000000039222406,SYM1,249.9777,250.0027,446,505
1700000000040322100,SYM2,50.0085,50.0185,484,338
1700000000041343744,SYM3,998.5591,998.6589,472,916
1700000000042399206,SYM0,99.9776,99.9876,428,507
1700000000043492654,SYM1,249.9012,249.9262,345,1238
1700000000044577835,SYM2,49.9935,50.0035,791,402
1700000000045586228,SYM3,998.6043,998.7042,405,702
1700000000046616390,SYM0,99.9755,99.9855,490,486
1700000000047625225,SYM1,249.8844,249.9094,818,358
1700000000048634513,SYM2,49.9855,49.9955,489,344
1700000000049729325,SYM3,998.6271,998.7269,715,428
1700000000050791279,SYM0,99.9765,99.9865,701,447
1700000000051877654,SYM1,249.8967,249.9217,375,570
1700000000052938868,SYM2,49.9877,49.9977,463,390
1700000000053946813,SYM3,998.3905,998.4904,399,584
1700000000054961136,SYM0,99.9766,99.9866,607,371
1700000000055997646,SYM1,249.9133,249.9383,275,576
1700000000057007527,SYM2,49.9691,49.9791,615,456
1700000000058078383,SYM3,998.3705,998.4704,751,253
1700000000059177155,SYM0,99.9836,99.9936,431,406
1700000000060229721,SYM1,249.9164,249.9414,579,450
1700000000061230004,SYM2,49.9769,49.9869,489,536
1700000000062285449,SYM3,998.1556,998.2554,426,316
1700000000063358295,SYM0,99.9715,99.9815,372,540
1700000000064365961,SYM1,249.9490,249.9740,359,418
1700000000065464000,SYM2,49.9756,49.9856,546,256
1700000000066533616,SYM3,998.2207,998.3205,760,946
1700000000067544117,SYM0,99.9760,99.9860,456,860
1700000000068597041,SYM1,249.9902,250.0152,792,769
1700000000069629313,SYM2,49.9731,49.9831,480,732
1700000000070703399,SYM3,998.3647,998.4645,249,452
1700000000071730172,SYM0,99.9676,99.9776,398,492
1700000000072814780,SYM1,250.0165,250.0415,461,641
1700000000073913329,SYM2,49.9744,49.9844,492,378
1700000000074926434,SYM3,998.1874,998.2873,602,548
1700000000075961195,SYM0,99.9801,99.9901,614,613
1700000000076998549,SYM1,250.0322,250.0572,682,804
1700000000078090764,SYM2,49.9651,49.9751,1129,568
1700000000079178303,SYM3,997.9581,998.0579,554,396
1700000000080265255,SYM0,100.0127,100.0227,725,472
1700000000081362566,SYM1,250.1368,250.1618,398,462
1700000000082441843,SYM2,49.9673,49.9773,652,399
1700000000083508088,SYM3,997.5971,997.6969,261,524
1700000000084514747,SYM0,100.0303,100.0403,594,497
1700000000085531894,SYM1,250.1410,250.1660,429,418
1700000000086629049,SYM2,49.9527,49.9627,591,436
1700000000087719623,SYM3,997.5608,997.6606,681,403
1700000000088768017,SYM0,100.0204,100.0304,459,598
1700000000089773247,SYM1,250.1718,250.1968,590,442
1700000000090805954,SYM2,49.9481,49.9581,392,283
1700000000091887306,SYM3,997.4114,997.5112,498,252
1700000000092918336,SYM0,100.0565,100.0665,269,629
1700000000093921585,SYM1,250.0759,250.1009,670,925
1700000000094975550,SYM2,49.9545,49.9645,283,546
1700000000096067468,SYM3,997.2656,997.3653,802,732
1700000000097129163,SYM0,100.0629,100.0729,861,390
1700000000098158995,SYM1,250.0865,250.1115,538,771
1700000000099211223,SYM2,49.9451,49.9551,848,634
1700000000100295304,SYM3,997.2323,997.3320,318,486
1700000000101365587,SYM0,100.0605,100.0706,531,590
1700000000102441687,SYM1,250.0593,250.0843,628,473
1700000000103455896,SYM2,49.9375,49.9475,427,537
1700000000104522930,SYM3,997.0243,997.1240,808,766
1700000000105547845,SYM0,100.0596,100.0696,800,990
1700000000106618421,SYM1,250.0605,250.0855,379,259
1700000000107715027,SYM2,49.9330,49.9430,389,746
1700000000108758307,SYM3,997.1497,997.2494,364,366
1700000000109774642,SYM0,100.0564,100.0664,389,447
1700000000110827386,SYM1,250.1083,250.1333,441,348
1700000000111852531,SYM2,49.9121,49.9221,703,375
1700000000112933208,SYM3,996.7633,996.8629,378,439
1700000000113933262,SYM0,100.0519,100.0619,607,547
1700000000114975500,SYM1,250.0416,250.0666,364,536
1700000000116003511,SYM2,49.8945,49.9045,481,803
1700000000117089868,SYM3,996.6820,996.7817,682,600
1700000000118172829,SYM0,100.0454,100.0554,456,616
1700000000119213517,SYM1,250.0308,250.0558,516,609
1700000000120216719,SYM2,49.9220,49.9320,640,337
1700000000121276412,SYM3,996.4626,996.5622,347,620
1700000000122301898,SYM0,100.0415,100.0515,374,436
1700000000123392027,SYM1,250.0474,250.0724,824,508
1700000000124405998,SYM2,49.9232,49.9332,406,583
1700000000125466888,SYM3,996.1727,996.2724,620,536
1700000000126482795,SYM0,100.0068,100.0168,578,321
1700000000127560843,SYM1,249.9184,249.9434,406,791
1700000000128618852,SYM2,49.9111,49.9211,366,284
1700000000129690663,SYM3,996.1615,996.2611,423,530
1700000000130752880,SYM0,99.9751,99.9851,583,569
1700000000131821208,SYM1,249.8843,249.9093,400,510
1700000000132878863,SYM2,49.9183,49.9283,561,482
1700000000133949662,SYM3,996.3347,996.4344,580,543
1700000000134999868,SYM0,99.9643,99.9743,321,663
1700000000136070990,SYM1,249.9044,249.9294,450,511
1700000000137126060,SYM2,49.9052,49.9152,694,528
1700000000138201517,SYM3,996.3216,996.4212,488,511
1700000000139247623,SYM0,99.9583,99.9683,664,778
1700000000140318169,SYM1,249.8446,249.8696,497,342
1700000000141397239,SYM2,49.9145,49.9245,406,475
1700000000142448208,SYM3,996.5490,996.6487,396,736
1700000000143501203,SYM0,99.9521,99.9621,283,1045
1700000000144571212,SYM1,249.7766,249.8016,672,525
1700000000145645188,SYM2,49.9123,49.9223,449,290
1700000000146669008,SYM3,996.7226,996.8222,660,547
1700000000147696751,SYM0,99.9347,99.9447,539,596
1700000000148752007,SYM1,249.7490,249.7739,499,566
1700000000149754548,SYM2,49.9123,49.9223,453,613
1700000000150763542,SYM3,996.6803,996.7800,544,326
1700000000151862401,SYM0,99.9495,99.9595,522,624
1700000000152893668,SYM1,249.6900,249.7150,683,687
1700000000153967589,SYM2,49.9228,49.9328,448,494
1700000000155047005,SYM3,996.8714,996.9711,338,366
1700000000156062018,SYM0,99.9516,99.9616,419,431
1700000000157102907,SYM1,249.7509,249.7759,279,370
1700000000158152100,SYM2,49.9102,49.9202,666,752
1700000000159234314,SYM3,997.0118,997.1115,510,794
1700000000160273844,SYM0,99.9675,99.9775,360,933
1700000000161279228,SYM1,249.8498,249.8748,416,648
1700000000162327800,SYM2,49.9233,49.9333,599,683
1700000000163392052,SYM3,997.0283,997.1280,912,800
1700000000164475360,SYM0,99.9848,99.9948,405,556
1700000000165543747,SYM1,249.8753,249.9003,630,475
1700000000166614287,SYM2,49.9250,49.9350,358,601
1700000000167656533,SYM3,996.7909,996.8905,700,317
1700000000168667893,SYM0,99.9808,99.9908,690,500
1700000000169755474,SYM1,249.8104,249.8354,474,525
1700000000170798075,SYM2,49.9279,49.9379,603,542
1700000000171876215,SYM3,996.6172,996.7168,464,397
1700000000172877546,SYM0,99.9679,99.9779,489,508
1700000000173950315,SYM1,249.8614,249.8864,511,315
1700000000175034975,SYM2,49.9253,49.9353,363,641
1700000000176087981,SYM3,996.6352,996.7348,456,393
1700000000177164207,SYM0,99.9506,99.9606,661,284
1700000000178236348,SYM1,250.0016,250.0266,398,752
1700000000179271858,SYM2,49.9228,49.9328,612,477
1700000000180369229,SYM3,996.4644,996.5641,304,446
1700000000181393497,SYM0,99.9624,99.9724,790,467
1700000000182493139,SYM1,250.0675,250.0925,392,481
1700000000183506316,SYM2,49.9269,49.9369,401,424
1700000000184599118,SYM3,996.5941,996.6938,395,475
1700000000185606265,SYM0,99.9332,99.9432,429,763
1700000000186670606,SYM1,250.1393,250.1643,519,514
1700000000187707875,SYM2,49.9164,49.9264,531,519
1700000000188770492,SYM3,996.6534,996.7531,543,537
1700000000189834947,SYM0,99.9583,99.9683,604,587
1700000000190908720,SYM1,250.1487,250.1737,563,480
1700000000191941251,SYM2,49.9289,49.9389,706,329
1700000000192970833,SYM3,996.4351,996.5347,524,374
1700000000194028862,SYM0,99.9505,99.9605,732,352
1700000000195036757,SYM1,250.1767,250.2017,341,365
1700000000196136731,SYM2,49.9307,49.9407,610,455
1700000000197159514,SYM3,996.3365,996.4362,423,472
1700000000198213060,SYM0,99.9250,99.9350,565,472
1700000000199305723,SYM1,250.2118,250.2368,442,894
1700000000200315053,SYM2,49.9220,49.9320,266,551
1700000000201401716,SYM3,996.0653,996.1649,534,414
1700000000202416760,SYM0,99.8972,99.9072,443,800
1700000000203426120,SYM1,250.1608,250.1859,820,607
1700000000204504114,SYM2,49.9219,49.9319,338,481
1700000000205594381,SYM3,996.1650,996.2646,451,666
1700000000206630065,SYM0,99.8739,99.8839,499,538
1700000000207686692,SYM1,250.1677,250.1928,480,333
1700000000208690083,SYM2,49.9433,49.9533,758,611
1700000000209692803,SYM3,995.9414,996.0410,782,499
1700000000210728129,SYM0,99.8438,99.8538,395,589
1700000000211786093,SYM1,250.2217,250.2467,589,454
1700000000212862814,SYM2,49.9265,49.9365,620,696
1700000000213916338,SYM3,995.8980,995.9976,399,736
1700000000214937418,SYM0,99.8291,99.8391,749,421
1700000000216037099,SYM1,250.3389,250.3639,365,451
1700000000217078324,SYM2,49.9264,49.9364,580,544
1700000000218078475,SYM3,995.5036,995.6031,407,365
1700000000219132641,SYM0,99.8518,99.8618,564,388
1700000000220190581,SYM1,250.2979,250.3230,506,408
1700000000221262569,SYM2,49.9320,49.9420,599,643
1700000000222266353,SYM3,995.3475,995.4471,749,466
1700000000223297719,SYM0,99.8475,99.8575,389,679
1700000000224327171,SYM1,250.3023,250.3274,969,484
1700000000225387654,SYM2,49.9457,49.9557,434,742
1700000000226425909,SYM3,995.7284,995.8279,393,493
1700000000227489152,SYM0,99.8623,99.8723,486,377
1700000000228567714,SYM1,250.2867,250.3118,270,484
1700000000229576865,SYM2,49.9428,49.9528,843,273
1700000000230643416,SYM3,995.9651,996.0647,498,510
1700000000231738581,SYM0,99.8544,99.8644,731,708
1700000000232758058,SYM1,250.2863,250.3114,360,560
1700000000233801632,SYM2,49.9309,49.9409,443,387
1700000000234826360,SYM3,996.0137,996.1133,623,486
1700000000235876557,SYM0,99.8579,99.8679,837,805
1700000000236968993,SYM1,250.3087,250.3338,642,429
1700000000238055985,SYM2,49.9347,49.9447,328,782
1700000000239072533,SYM3,996.4347,996.5344,334,497
1700000000240085688,SYM0,99.8731,99.8831,397,360
1700000000241180381,SYM1,250.2998,250.3248,727,806
1700000000242200614,SYM2,49.9503,49.9603,633,480
1700000000243252713,SYM3,996.7120,996.8117,354,311
1700000000244341103,SYM0,99.8855,99.8955,398,411
1700000000245440640,SYM1,250.3726,250.3976,344,514
1700000000246521572,SYM2,49.9631,49.9731,596,1243
1700000000247619453,SYM3,996.3839,996.4836,1007,781
1700000000248719117,SYM0,99.8584,99.8684,317,324
1700000000249722912,SYM1,250.3993,250.4244,835,582
1700000000250761365,SYM2,49.9564,49.9664,640,505
1700000000251850730,SYM3,996.5892,996.6889,524,419
1700000000252861081,SYM0,99.8433,99.8533,414,433
1700000000253937517,SYM1,250.3457,250.3707,615,649
1700000000254970807,SYM2,49.9421,49.9521,559,655
1700000000256008508,SYM3,996.4569,996.5565,462,426
1700000000257066407,SYM0,99.8990,99.9090,370,395
1700000000258156888,SYM1,250.4677,250.4927,499,892
1700000000259183000,SYM2,49.9616,49.9716,498,629
1700000000260230050,SYM3,996.5782,996.6779,216,326
1700000000261268747,SYM0,99.9363,99.9463,540,485
1700000000262358637,SYM1,250.4716,250.4966,576,225
1700000000263438120,SYM2,49.9611,49.9711,283,764
1700000000264468283,SYM3,996.3808,996.4805,401,420
1700000000265551726,SYM0,99.9418,99.9518,618,509
1700000000266640968,SYM1,250.3861,250.4111,624,349
1700000000267723211,SYM2,49.9559,49.9659,407,346
1700000000268819203,SYM3,996.4761,996.5758,781,810
1700000000269862027,SYM0,99.9416,99.9516,414,643
1700000000270909981,SYM1,250.4321,250.4572,260,439
1700000000271931549,SYM2,49.9550,49.9650,874,291
1700000000273029403,SYM3,996.5172,996.6169,725,337
1700000000274090789,SYM0,99.9524,99.9624,481,894
1700000000275185714,SYM1,250.4114,250.4364,435,382
1700000000276258763,SYM2,49.9433,49.9533,743,724
1700000000277318373,SYM3,996.5388,996.6385,356,721
1700000000278352736,SYM0,99.9203,99.9303,376,571
1700000000279383384,SYM1,250.4026,250.4276,331,538
1700000000280456969,SYM2,49.9368,49.9468,719,387
1700000000281517822,SYM3,996.3123,996.4119,619,435
1700000000282571339,SYM0,99.9248,99.9348,531,1316
1700000000283586560,SYM1,250.4411,250.4661,835,716
1700000000284604342,SYM2,49.9295,49.9395,602,776
1700000000285675147,SYM3,996.2161,996.3157,324,635
1700000000286695401,SYM0,99.9468,99.9568,374,615
1700000000287732068,SYM1,250.3812,250.4062,663,530
1700000000288790184,SYM2,49.9226,49.9326,538,288
1700000000289838332,SYM3,996.6421,996.7417,225,397
1700000000290885345,SYM0,99.9617,99.9717,546,1024
1700000000291944946,SYM1,250.3569,250.3820,594,559
1700000000293028766,SYM2,49.9209,49.9309,482,526
1700000000294045272,SYM3,996.4971,996.5968,523,410
1700000000295117914,SYM0,99.9654,99.9754,611,600
1700000000296137255,SYM1,250.3243,250.3493,550,337
1700000000297173598,SYM2,49.9244,49.9344,438,584
1700000000298196470,SYM3,996.6075,996.7072,795,733
1700000000299213746,SYM0,100.0006,100.0106,525,510
1700000000300236585,SYM1,250.3685,250.3935,492,584
1700000000301291762,SYM2,49.9081,49.9181,461,298
1700000000302359034,SYM3,996.6589,996.7586,380,416
