timestamp_ns,symbol,bid_px,ask_px,bid_qty,ask_qty
1700000000000000000,SYM0,99.9900,100.0100,500,500
1700000000001000000,SYM1,249.9900,250.0100,300,300
1700000000002000000,SYM0,100.0000,100.0200,500,500
1700000000003000000,SYM1,249.9400,249.9600,300,300
1700000000004000000,SYM0,100.0100,100.0300,500,500
1700000000005000000,SYM1,249.8900,249.9100,300,300
1700000000006000000,SYM0,100.0200,100.0400,500,500
1700000000007000000,SYM1,249.8400,249.8600,300,300
1700000000008000000,SYM0,100.0300,100.0500,500,500
1700000000009000000,SYM1,249.7900,249.8100,300,300
1700000000010000000,SYM0,100.0400,100.0600,500,500
1700000000011000000,SYM1,249.7400,249.7600,300,300
1700000000012000000,SYM0,100.0500,100.0700,500,500
1700000000013000000,SYM1,249.6900,249.7100,300,300
1700000000014000000,SYM0,100.0600,100.0800,500,500
1700000000015000000,SYM1,249.6400,249.6600,300,300
1700000000016000000,SYM0,100.0700,100.0900,500,500
1700000000017000000,SYM1,249.5900,249.6100,300,300
1700000000018000000,SYM0,100.0800,100.1000,500,500
1700000000019000000,SYM1,249.5400,249.5600,300,300
